mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.1317342019601986,2.763567484440025,-2.0561241999999997,3.490214312740846,-3.389095631789054,4.51325141916365,-2.2285657000000003,5.644059494193373,-8.145801006965176,5.049396438155316,-9.930947999999999,9.58386552674496,hand_wash
-1.8467616207163366,1.9179540000606756,-2.01720515,2.6625318833958733,-3.6494050773465343,3.6336330138720165,-3.23627015,5.149897697825006,-8.310261296336634,5.351653569999329,-9.7106065,9.884363345541137,hand_wash
-1.7911129823000003,1.756739261184049,-1.4100677,2.5088281222812134,-7.684882568366337,3.465435564931197,-8.3376615,8.430104610517642,-2.115282452559406,5.688582294637307,-0.196990355,6.069134071427882,hand_wash
-1.6422047180344825,1.3294761372582553,-1.5244299,2.1128992251108065,-3.8483126731591137,4.502935564564025,-3.9158568,5.923338512107221,-8.548497164448277,4.31802366372385,-9.8590975,9.577167228938803,hand_wash
-1.0261183928522168,1.3852514014847657,-1.111289,1.7239026658907177,1.557382093807882,2.247771089935329,2.767445,2.7345774552684516,-11.217941137931035,1.01605495147194,-11.014695,11.26386128459047,hand_wash
0.5397760489852217,2.2531396270623305,1.2741504,2.316893688130009,2.742798788226601,1.8618479186632166,3.051255,3.3150298437461867,-10.252848550738914,2.248804737637529,-10.283016,10.496572114381442,hand_wash
-1.617458163719212,2.2585560368126365,-1.7651293999999997,2.7779932114396404,-0.8996129706650247,3.5649809998762287,-1.4214440000000002,3.676736736083679,-11.255642045812806,2.3098310525749395,-10.845846,11.490204408752204,hand_wash
-1.4590978097812806,2.557461111375999,-1.2022998,2.9444139917323264,-0.6426852032413792,3.0371042202298586,-0.92687255,3.1043592438703724,-11.256709775369456,2.403698362926125,-11.049422,11.510485688572487,hand_wash
-0.7858082671034481,1.3203760209266866,-0.81191164,1.5365179690736825,0.11437103573399016,2.560698388685208,0.8741821,2.5632512501957128,-11.09915176847291,1.2602770140565236,-11.258986,11.17047304870096,hand_wash
-1.9167993315392673,2.164637512796752,-1.9842737000000001,2.8913275911242384,-3.1361025136649214,5.625809653349018,-3.3673975,6.440875191457326,-6.592046745445026,7.138246214549351,-9.799222,9.716462283859311,hand_wash
-5.1502055601030925,2.174964516278678,-5.3875965,5.590625006060427,-7.248100701030928,3.4245740788337367,-7.04015965,8.016400151795379,-1.7066427530670103,4.27129030588023,-2.5219555,4.599625024249539,hand_wash
-5.1119735696534665,1.7948260176582038,-5.261259300000001,5.417903119334859,-6.038757189341584,3.1570008458643115,-6.10310865,6.8141942100744854,-3.430260788366336,6.596181125355065,-2.8213330500000002,7.434802923729319,hand_wash
-4.82647416480198,2.501639609251491,-5.048102350000001,5.436272031279977,-7.001750662376237,3.9212935198843786,-7.29882215,8.025026804140488,-3.1753513020544553,6.070643898457491,-2.5920099,6.8509541841511465,hand_wash
-5.23349897995025,2.71605113191789,-5.3684363,5.8963077704893205,-6.344341182477612,4.2026473527213986,-6.460565,7.610053206845376,-4.618032588386568,5.64188142798168,-5.3923864,7.290888219881369,hand_wash
-4.918587596386138,2.6399035416302854,-5.00499235,5.582257128835584,-6.021381458836634,4.420434504127132,-6.18992805,7.469757417620687,-5.942903035990099,7.446891174966603,-5.67978885,9.52755397082461,hand_wash
